"H","22","branche","GSU05","2","-1","-1","5","-5","2","5","2","2","5","35",,"20:00:00","22:30:00","15","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","2","5"
"F","18","tronc commun","TC02","2","-1","-5","2","-1","5","2","0","5","5","15",,"20:00:00","22:00:00","7","Oui","Mardi, Jeudi","3","8"
"H","19","tronc commun","TC02","2","5","0","0","0","0","0","0","2","0","30",,"20:15:00","22:00:00","10","Oui","Lundi, Mardi, Jeudi","2","6"
"H","20","escom","","0","0","-1","0","0","0","0","0","2","5","20",,"20:00:00","22:00:00","10","Oui","Jeudi, Vendredi","4","10"
"F","24","branche","GB04","2","2","2","5","-5","0","-1","2","5","5","15",,"20:00:00","22:00:00","2","Oui","Mardi, Jeudi","3","3"
"H","20","hutech","GI04","2","-1","-1","2","-1","2","5","5","5","-5","20",,"20:15:00","22:00:00","12","Oui","Mardi, Jeudi, Vendredi","4","6"
"H","21","branche","GM02","2","-1","-1","5","-1","-5","0","5","5","5","10",,"20:30:00","22:00:00","20","Oui","Lundi, Jeudi, Vendredi","5","20"
"F","23","escom","","2","0","5","0","5","0","2","5","5","5","30",,"19:45:00","22:00:00","7","Non","Lundi, Jeudi, Vendredi","3","8"
"F","17","tronc commun","TC02","0","0","0","2","2","0","5","0","0","5","10",,"20:30:00","22:00:00","6","Non","Lundi, Vendredi","1","4"
"H","23","branche","GI04","0","2","2","2","5","2","5","2","5","5","15",,"20:00:00","22:00:00","5","Oui","Jeudi, Vendredi","3","2"
"H","18","tronc commun","TC02","0","0","0","0","5","0","0","0","2","-1","20",,"20:00:00","21:45:00","10","Oui","Mercredi, Jeudi, Vendredi","3","8"
"H","22","branche","GM04","0","2","0","2","5","5","5","5","5","5","40",,"20:00:00","22:00:00","10","Non","Mercredi, Jeudi, Vendredi","3","5"
"H","23","branche","GSU04","0","-1","-1","5","-1","-1","5","2","2","5","25",,"20:00:00","22:20:00","12","Non","Mardi, Mercredi, Jeudi, Vendredi","4","4"
"F","20","branche","GB01","0","0","0","0","2","0","0","2","2","2","20",,"20:00:00","22:00:00","5","Oui","Jeudi","1","5"
"F","18","tronc commun","TC01","0","0","0","0","2","0","0","2","2","5","30",,"20:00:00","22:00:00","10","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","10"
